delay,tob_prev,interv,popn,sex,bau_HALY.lower,bau_HALY.upper,bau_HALY.median,bau_HALY.mean,HALY.lower,HALY.upper,HALY.median,HALY.mean,HALY_gain.lower,HALY_gain.upper,HALY_gain.median,HALY_gain.mean,HALY_pcnt.lower,HALY_pcnt.upper,HALY_pcnt.median,HALY_pcnt.mean
0,decreasing,erad,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,133582950.66633545,154165121.15491995,146064205.7559644,145484896.83659324,804579.0,1613176.0,1166676.0,1178889.0,0.56,1.11,0.81,0.82
0,decreasing,tfg,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,132871603.32287352,153164533.3763169,145087870.81849802,144497338.31006554,91474.0,331805.0,184911.0,191330.0,0.06,0.23,0.13,0.13
0,decreasing,tax,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,132800025.48664628,153140742.22594783,145054938.11694548,144467904.471754,80016.0,262168.0,158467.0,161896.0,0.06,0.18,0.11,0.11
20,constant,erad,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,134696333.4480021,155283803.87158245,147167638.4685334,146573933.77016243,1951825.0,2616224.0,2261566.0,2267926.0,1.38,1.8,1.57,1.57
20,constant,tfg,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,133320877.79538114,153713095.06649217,145600123.26951844,145029315.36540207,544298.0,916978.0,721203.0,723307.0,0.38,0.63,0.5,0.5
20,constant,tax,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,133020226.81933963,153343229.87231132,145317649.33136982,144731490.39926365,261883.0,594015.0,424113.0,425482.0,0.18,0.41,0.29,0.29
20,decreasing,erad,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13384099.525619412,15697160.21611826,14767089.538987018,14705842.047344057,244552.0,447091.0,342415.0,343763.0,1.71,3.11,2.38,2.39
20,decreasing,tfg,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13199443.654152751,15480435.29536438,14560675.834259134,14502948.733175866,83864.0,203949.0,139510.0,140870.0,0.59,1.42,0.97,0.98
20,decreasing,tax,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13157043.529827334,15419235.25970985,14500592.842176244,14443534.365738027,42954.0,127453.0,80032.0,81456.0,0.3,0.89,0.56,0.57
0,decreasing,erad,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13460232.524789825,15768988.178976238,14840909.69511998,14779811.892186612,293227.0,547604.0,416408.0,417733.0,2.06,3.82,2.89,2.91
0,decreasing,tfg,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13193223.14397883,15464113.294470876,14546041.903610758,14488016.827437349,64128.0,200881.0,123055.0,125938.0,0.45,1.4,0.86,0.88
0,decreasing,tax,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13161222.899761157,15426627.532653881,14505554.011743542,14448091.49476885,44683.0,139212.0,84314.0,86013.0,0.31,0.96,0.59,0.6
20,constant,erad,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13697599.921864357,16059580.48468782,15113825.315151725,15051574.414322399,582949.0,796340.0,688050.0,689496.0,4.18,5.46,4.8,4.8
20,constant,tfg,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13387397.770819766,15679318.929254735,14758095.267636694,14694622.820267465,260937.0,403910.0,332366.0,332544.0,1.85,2.78,2.32,2.32
20,constant,tax,maori,female,13067246.0,15342883.0,14423064.0,14362079.0,13243862.136360701,15525120.017163659,14598310.178581182,14543495.689660622,110841.0,257685.0,180280.0,181417.0,0.78,1.77,1.26,1.26
20,decreasing,erad,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,67244523.02843255,78134925.91965638,73804853.60867307,73490278.93499862,315948.0,612164.0,449583.0,454250.0,0.44,0.84,0.62,0.62
20,decreasing,tfg,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,66974922.15526804,77779390.41587211,73452677.34364764,73144853.72093314,58408.0,173559.0,106218.0,108825.0,0.08,0.24,0.15,0.15
20,decreasing,tax,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,66917110.93662344,77745092.36359335,73409029.2799569,73106800.45335233,35630.0,113150.0,69637.0,70771.0,0.05,0.15,0.09,0.1
0,decreasing,erad,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,67287907.92599064,78210372.02708428,73873293.12329264,73567419.0015257,358910.0,731086.0,526227.0,531390.0,0.49,1.0,0.72,0.73
0,decreasing,tfg,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,66955447.82708463,77752949.44675042,73428388.50243285,73121493.17980134,39741.0,150440.0,82088.0,85464.0,0.05,0.21,0.11,0.12
0,decreasing,tax,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,66923808.7331906,77747423.88435516,73411808.91885698,73109340.38019776,35787.0,120310.0,71720.0,73311.0,0.05,0.16,0.1,0.1
20,constant,erad,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,67798043.57390067,78725677.02988146,74407784.13057661,74100257.26318139,904501.0,1234731.0,1060529.0,1064228.0,1.26,1.67,1.45,1.46
20,constant,tfg,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,67173038.09668097,78021119.50009333,73681017.96389905,73382175.00937836,259914.0,437476.0,344988.0,346146.0,0.36,0.6,0.47,0.47
20,constant,tax,non-maori,female,66817167.0,77673781.0,73340966.0,73036029.0,67030162.36740164,77850404.79286058,73542667.61267415,73237767.691548,124826.0,281999.0,201276.0,201739.0,0.17,0.38,0.28,0.28
20,decreasing,erad,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12840688.983468968,14923942.541201277,14086610.4262219,14032698.22519776,164986.0,298297.0,227811.0,229243.0,1.2,2.15,1.65,1.66
20,decreasing,tfg,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12722125.063622631,14788141.327081803,13959634.797877276,13904154.536361475,61349.0,144832.0,100040.0,100699.0,0.45,1.04,0.72,0.73
20,decreasing,tax,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12694545.896143783,14735855.162112594,13913629.333643049,13859689.45028585,30621.0,88383.0,55252.0,56234.0,0.22,0.64,0.4,0.41
0,decreasing,erad,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12871607.127514256,14952278.869435117,14117559.69645534,14062684.48643741,181065.0,343987.0,257360.0,259229.0,1.33,2.49,1.87,1.88
0,decreasing,tfg,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12712445.102606978,14773356.977119554,13945843.437092204,13891186.863305535,46745.0,137461.0,86394.0,87731.0,0.34,0.99,0.62,0.64
0,decreasing,tax,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12693936.93923293,14736394.673754292,13913904.83095001,13859572.804854693,29485.0,91205.0,54917.0,56117.0,0.21,0.65,0.4,0.41
20,constant,erad,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,13036216.462230643,15138328.205871724,14306855.234922934,14249120.923997646,376327.0,518078.0,445024.0,445665.0,2.79,3.71,3.23,3.23
20,constant,tfg,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12853007.282021906,14911843.037958825,14082627.654166708,14026380.919115696,170665.0,275795.0,222893.0,222925.0,1.25,1.98,1.62,1.62
20,constant,tax,maori,male,12626240.0,14685637.0,13860454.0,13803456.0,12743381.601041326,14803630.540837228,13975257.07177131,13922683.537482934,72341.0,170983.0,118236.0,119228.0,0.53,1.22,0.86,0.86
20,decreasing,erad,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,66241129.0289055,75883579.28638563,72101626.03968619,71823250.2657456,392320.0,738885.0,548459.0,553271.0,0.55,1.03,0.77,0.78
20,decreasing,tfg,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,65940939.33627306,75444662.48179023,71688043.5715804,71405182.01161708,75800.0,209353.0,132787.0,135203.0,0.11,0.29,0.19,0.19
20,decreasing,tax,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,65871059.89356698,75392419.17581956,71638539.7663269,71357865.3548216,46381.0,136869.0,86755.0,87886.0,0.06,0.19,0.12,0.12
0,decreasing,erad,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,66295042.74034505,75984532.58853008,72190665.32743886,71917477.83506764,443021.0,879946.0,640278.0,647499.0,0.62,1.23,0.9,0.91
0,decreasing,tfg,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,65916173.009174466,75411460.59193775,71658237.35061023,71375845.13026436,51377.0,181679.0,102632.0,105866.0,0.07,0.25,0.14,0.15
0,decreasing,tax,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,65876216.75345578,75393294.78446639,71639116.35642326,71358564.09155625,44844.0,141724.0,86918.0,88585.0,0.06,0.2,0.12,0.12
20,constant,erad,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,66898289.87410114,76536799.49974965,72758658.12396353,72473676.50698139,1040178.0,1382509.0,1202340.0,1203698.0,1.48,1.92,1.69,1.69
20,constant,tfg,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,66147839.69870009,75683136.78520331,71920138.24002558,71647140.35602361,280563.0,480083.0,376503.0,377161.0,0.4,0.67,0.53,0.53
20,constant,tax,non-maori,male,65749038.0,75309666.0,71553323.0,71269979.0,65990064.451938204,75501424.63175885,71772785.75027129,71493722.70771521,138108.0,310960.0,223004.0,223744.0,0.19,0.43,0.31,0.31
